;CHR;Autres;Confondu
Auvergne-Rhône-Alpes;356;258;614
Bourgogne-Franche-Comté;106;97;203
Bretagne;95;76;171
Centre-Val-de-Loire;114;76;190
Corse;0;18;18
Grand-Est;282;223;505
Hauts-de-France;173;301;474
Île-de-France;610;615;1225
Normandie;140;118;258
Nouvelle-Aquitaine;225;218;443
Occitanie;222;260;482
Pays de la Loire;133;65;198
Provence-Alpes-Côte-d'Azur;156;334;490
Régions d'Outre Mer;126;36;162
Guadeloupe;28;5;33
Guyane;0;13;13
Martinique;29;0;29
Mayotte;0;12;12
La Réunion;69;6;75